geoid_o,geoid_d,month_year,visitor_flows,pop_flows,date_range
25025000201,25025000201,2021-01,24,1716.0,01/04/21 - 01/10/21
25025000201,25025000201,2021-02,71,5233.0,02/01/21 - 02/07/21
25025000201,25025000201,2021-03,52,3814.0,03/01/21 - 03/07/21
25025000201,25025000201,2021-04,36,2417.0,04/05/21 - 04/11/21
25025000201,25025000201,2021-05,52,4185.0,05/03/21 - 05/09/21
25025000201,25025000201,2021-06,63,5130.0,06/07/21 - 06/13/21
25025000201,25025000201,2021-07,81,6615.0,07/05/21 - 07/11/21
25025000201,25025000201,2021-08,73,5951.0,08/02/21 - 08/08/21
25025000201,25025000201,2021-09,37,2843.0,09/06/21 - 09/12/21
25025000201,25025000201,2021-10,53,4021.0,10/04/21 - 10/10/21
25025000201,25025000201,2021-11,77,5340.0,11/01/21 - 11/07/21
25025000201,25025000201,2021-12,51,3593.0,12/06/21 - 12/12/21
25025000201,25025000202,2021-01,28,1970.0,01/04/21 - 01/10/21
25025000201,25025000202,2021-02,33,2368.0,02/01/21 - 02/07/21
25025000201,25025000202,2021-03,36,2663.0,03/01/21 - 03/07/21
25025000201,25025000202,2021-04,44,2983.0,04/05/21 - 04/11/21
25025000201,25025000202,2021-05,70,5534.0,05/03/21 - 05/09/21
25025000201,25025000202,2021-06,53,4253.0,06/07/21 - 06/13/21
25025000201,25025000202,2021-07,37,2980.0,07/05/21 - 07/11/21
25025000201,25025000202,2021-08,78,6316.0,08/02/21 - 08/08/21
25025000201,25025000202,2021-09,72,5509.0,09/06/21 - 09/12/21
25025000201,25025000202,2021-10,49,3737.0,10/04/21 - 10/10/21
25025000201,25025000202,2021-11,83,5466.0,11/01/21 - 11/07/21
25025000201,25025000202,2021-12,60,4209.0,12/06/21 - 12/12/21
25025000201,25025000301,2021-05,13,1030.0,05/03/21 - 05/09/21
25025000201,25025000301,2021-08,8,651.0,08/16/21 - 08/22/21
25025000201,25025000301,2021-10,12,927.0,10/04/21 - 10/10/21
25025000201,25025000302,2021-02,21,1540.0,02/01/21 - 02/07/21
25025000201,25025000302,2021-03,35,2486.0,03/01/21 - 03/07/21
25025000201,25025000302,2021-05,34,2695.0,05/03/21 - 05/09/21
25025000201,25025000302,2021-06,8,669.0,06/07/21 - 06/13/21
25025000201,25025000302,2021-07,16,1292.0,07/12/21 - 07/18/21
25025000201,25025000302,2021-08,28,2303.0,08/02/21 - 08/08/21
25025000201,25025000302,2021-10,17,1341.0,10/04/21 - 10/10/21
25025000201,25025000302,2021-11,22,1532.0,11/01/21 - 11/07/21
25025000201,25025000302,2021-12,16,1033.0,12/13/21 - 12/19/21
25025000201,25025000401,2021-03,20,1463.0,03/01/21 - 03/07/21
25025000201,25025000401,2021-06,8,638.0,06/14/21 - 06/20/21
25025000201,25025000401,2021-07,12,954.0,07/05/21 - 07/11/21
25025000201,25025000401,2021-09,16,1214.0,09/13/21 - 09/19/21
25025000201,25025000401,2021-11,8,541.0,11/08/21 - 11/14/21
25025000201,25025000402,2021-02,8,574.0,02/01/21 - 02/07/21
25025000201,25025000402,2021-03,16,1167.0,03/15/21 - 03/21/21
25025000201,25025000402,2021-05,24,1896.0,05/03/21 - 05/09/21
25025000201,25025000402,2021-06,12,977.0,06/07/21 - 06/13/21
25025000201,25025000402,2021-07,24,1931.0,07/05/21 - 07/11/21
25025000201,25025000402,2021-08,24,2016.0,08/02/21 - 08/08/21
25025000201,25025000402,2021-09,34,2587.0,09/06/21 - 09/12/21
25025000201,25025000402,2021-11,44,3013.0,11/01/21 - 11/07/21
25025000201,25025000402,2021-12,28,1933.0,12/06/21 - 12/12/21
25025000201,25025000502,2021-04,9,586.0,04/12/21 - 04/18/21
25025000201,25025000502,2021-05,18,1429.0,05/10/21 - 05/16/21
25025000201,25025000502,2021-07,12,954.0,07/05/21 - 07/11/21
25025000201,25025000502,2021-09,8,610.0,09/06/21 - 09/12/21
25025000201,25025000502,2021-10,25,1877.0,10/11/21 - 10/17/21
25025000201,25025000502,2021-11,19,1232.0,11/01/21 - 11/07/21
25025000201,25025000502,2021-12,8,593.0,12/06/21 - 12/12/21
25025000201,25025000503,2021-01,8,574.0,01/18/21 - 01/24/21
25025000201,25025000503,2021-03,9,717.0,03/08/21 - 03/14/21
25025000201,25025000503,2021-06,8,669.0,06/07/21 - 06/13/21
25025000201,25025000601,2021-01,20,1452.0,01/04/21 - 01/10/21
25025000201,25025000601,2021-02,18,1318.0,02/01/21 - 02/07/21
25025000201,25025000601,2021-03,20,1514.0,03/01/21 - 03/07/21
25025000201,25025000601,2021-04,16,1038.0,04/12/21 - 04/18/21
25025000201,25025000601,2021-05,37,2998.0,05/03/21 - 05/09/21
25025000201,25025000601,2021-06,30,2466.0,06/07/21 - 06/13/21
25025000201,25025000601,2021-07,17,1402.0,07/12/21 - 07/18/21
25025000201,25025000601,2021-08,45,3768.0,08/02/21 - 08/08/21
25025000201,25025000601,2021-09,55,4201.0,09/06/21 - 09/12/21
25025000201,25025000601,2021-10,75,5700.0,10/04/21 - 10/10/21
25025000201,25025000601,2021-11,68,4728.0,11/01/21 - 11/07/21
25025000201,25025000601,2021-12,47,3254.0,12/06/21 - 12/12/21
25025000201,25025000701,2021-07,14,1142.0,07/05/21 - 07/11/21
25025000201,25025000701,2021-08,8,626.0,08/09/21 - 08/15/21
25025000201,25025000701,2021-11,12,891.0,11/15/21 - 11/21/21
25025000201,25025000703,2021-01,12,883.0,01/11/21 - 01/17/21
25025000201,25025000703,2021-02,8,568.0,02/08/21 - 02/14/21
25025000201,25025000703,2021-03,20,1392.0,03/08/21 - 03/14/21
25025000201,25025000703,2021-05,16,1298.0,05/03/21 - 05/09/21
25025000201,25025000703,2021-08,9,758.0,08/02/21 - 08/08/21
25025000201,25025000703,2021-09,16,1227.0,09/06/21 - 09/12/21
25025000201,25025000703,2021-10,16,1231.0,10/11/21 - 10/17/21
25025000201,25025000704,2021-01,8,543.0,01/04/21 - 01/10/21
25025000201,25025000704,2021-02,8,604.0,02/01/21 - 02/07/21
25025000201,25025000704,2021-05,16,1285.0,05/10/21 - 05/16/21
25025000201,25025000704,2021-08,20,1653.0,08/02/21 - 08/08/21
25025000201,25025000704,2021-10,8,611.0,10/04/21 - 10/10/21
25025000201,25025010103,2021-08,8,642.0,08/23/21 - 08/29/21
25025000201,25025010103,2021-09,12,919.0,09/13/21 - 09/19/21
25025000201,25025010103,2021-10,28,2138.0,10/04/21 - 10/10/21
25025000201,25025010103,2021-11,21,1467.0,11/01/21 - 11/07/21
25025000201,25025010104,2021-06,11,901.0,06/07/21 - 06/13/21
25025000201,25025010104,2021-08,14,1110.0,08/02/21 - 08/08/21
25025000201,25025010104,2021-09,12,918.0,09/06/21 - 09/12/21
25025000201,25025010104,2021-11,8,552.0,11/15/21 - 11/21/21
25025000201,25025010204,2021-01,16,1199.0,01/11/21 - 01/17/21
25025000201,25025010204,2021-04,12,774.0,04/05/21 - 04/11/21
25025000201,25025010204,2021-06,20,1645.0,06/14/21 - 06/20/21
25025000201,25025010204,2021-07,12,954.0,07/05/21 - 07/11/21
25025000201,25025010204,2021-09,8,610.0,09/06/21 - 09/12/21
25025000201,25025010204,2021-10,12,915.0,10/11/21 - 10/17/21
25025000201,25025010300,2021-09,45,3438.0,09/06/21 - 09/12/21
25025000201,25025010300,2021-10,20,1482.0,10/04/21 - 10/10/21
25025000201,25025010300,2021-11,24,1595.0,11/01/21 - 11/07/21
25025000201,25025010300,2021-12,22,1405.0,12/13/21 - 12/19/21
25025000201,25025010600,2021-03,12,891.0,03/08/21 - 03/14/21
25025000201,25025010701,2021-06,8,669.0,06/07/21 - 06/13/21
25025000201,25025020101,2021-01,9,601.0,01/04/21 - 01/10/21
25025000201,25025020301,2021-11,12,882.0,11/01/21 - 11/07/21
25025000201,25025030400,2021-04,8,560.0,04/05/21 - 04/11/21
25025000201,25025040600,2021-11,12,842.0,11/01/21 - 11/07/21
25025000201,25025051200,2021-01,12,852.0,01/04/21 - 01/10/21
25025000201,25025051200,2021-04,8,516.0,04/05/21 - 04/11/21
25025000201,25025060400,2021-11,8,519.0,11/01/21 - 11/07/21
25025000201,25025060800,2021-03,8,591.0,03/15/21 - 03/21/21
25025000201,25025060800,2021-04,9,640.0,04/19/21 - 04/25/21
25025000201,25025070402,2021-04,8,521.0,04/05/21 - 04/11/21
25025000201,25025071201,2021-11,8,552.0,11/15/21 - 11/21/21
25025000201,25025080601,2021-09,25,1901.0,09/13/21 - 09/19/21
25025000201,25025080601,2021-10,31,2320.0,10/11/21 - 10/17/21
25025000201,25025080601,2021-11,40,2749.0,11/01/21 - 11/07/21
25025000201,25025080601,2021-12,15,960.0,12/13/21 - 12/19/21
25025000201,25025081001,2021-05,8,653.0,05/17/21 - 05/23/21
25025000201,25025081001,2021-07,8,661.0,07/12/21 - 07/18/21
25025000201,25025081001,2021-08,28,2257.0,08/09/21 - 08/15/21
25025000201,25025081001,2021-09,18,1365.0,09/06/21 - 09/12/21
25025000201,25025081001,2021-10,28,2146.0,10/04/21 - 10/10/21
25025000201,25025081001,2021-11,36,2597.0,11/01/21 - 11/07/21
25025000201,25025081001,2021-12,16,1076.0,12/13/21 - 12/19/21
25025000201,25025081400,2021-09,8,610.0,09/06/21 - 09/12/21
25025000201,25025081400,2021-10,8,611.0,10/04/21 - 10/10/21
25025000201,25025081400,2021-11,16,1044.0,11/01/21 - 11/07/21
25025000201,25025081400,2021-12,16,1048.0,12/06/21 - 12/12/21
25025000201,25025082000,2021-09,8,616.0,09/06/21 - 09/12/21
25025000201,25025082000,2021-10,16,1242.0,10/04/21 - 10/10/21
25025000201,25025090700,2021-05,8,638.0,05/03/21 - 05/09/21
25025000201,25025090700,2021-08,12,922.0,08/09/21 - 08/15/21
25025000201,25025091600,2021-04,8,565.0,04/19/21 - 04/25/21
25025000201,25025092200,2021-09,8,610.0,09/13/21 - 09/19/21
25025000201,25025120301,2021-11,17,1195.0,11/01/21 - 11/07/21
25025000201,25025130402,2021-09,8,610.0,09/13/21 - 09/19/21
25025000201,25025130402,2021-12,16,1119.0,12/06/21 - 12/12/21
25025000201,25025140300,2021-05,8,632.0,05/10/21 - 05/16/21
25025000201,25025980101,2021-09,8,610.0,09/13/21 - 09/19/21
25025000201,25025980101,2021-11,8,568.0,11/15/21 - 11/21/21
25025000201,25025981201,2021-04,16,1130.0,04/19/21 - 04/25/21
25025000201,25025981201,2021-08,12,1007.0,08/09/21 - 08/15/21
25025000201,25025981202,2021-01,8,574.0,01/18/21 - 01/24/21
25025000201,25025981202,2021-04,25,1712.0,04/05/21 - 04/11/21
25025000201,25025981202,2021-09,8,604.0,09/20/21 - 09/26/21
25025000201,25025981300,2021-01,8,574.0,01/18/21 - 01/24/21
25025000201,25025981300,2021-04,8,516.0,04/05/21 - 04/11/21
25025000201,25025981300,2021-05,8,645.0,05/03/21 - 05/09/21
25025000201,25025981300,2021-06,8,653.0,06/07/21 - 06/13/21
25025000201,25025981300,2021-08,20,1724.0,08/09/21 - 08/15/21
25025000201,25025981300,2021-09,24,1845.0,09/06/21 - 09/12/21
25025000201,25025981300,2021-11,28,1932.0,11/15/21 - 11/21/21
25025000201,25025981300,2021-12,17,1204.0,12/06/21 - 12/12/21
25025000201,25025981501,2021-03,24,1699.0,03/01/21 - 03/07/21
25025000201,25025981501,2021-04,23,1560.0,04/05/21 - 04/11/21
25025000201,25025981501,2021-05,44,3448.0,05/10/21 - 05/16/21
25025000201,25025981501,2021-07,28,2250.0,07/05/21 - 07/11/21
25025000201,25025981501,2021-08,48,3961.0,08/02/21 - 08/08/21
25025000201,25025981501,2021-09,15,1139.0,09/06/21 - 09/12/21
25025000201,25025981501,2021-10,22,1684.0,10/04/21 - 10/10/21
25025000201,25025981501,2021-11,8,519.0,11/01/21 - 11/07/21
25025000201,25025981501,2021-12,22,1435.0,12/06/21 - 12/12/21
25025000202,25025000201,2021-01,16,826.0,01/11/21 - 01/17/21
25025000202,25025000201,2021-02,16,977.0,02/01/21 - 02/07/21
25025000202,25025000201,2021-03,50,2719.0,03/01/21 - 03/07/21
25025000202,25025000201,2021-04,16,876.0,04/19/21 - 04/25/21
25025000202,25025000201,2021-05,28,1603.0,05/03/21 - 05/09/21
25025000202,25025000201,2021-06,29,1760.0,06/14/21 - 06/20/21
25025000202,25025000201,2021-07,28,1711.0,07/05/21 - 07/11/21
25025000202,25025000201,2021-08,40,2718.0,08/02/21 - 08/08/21
25025000202,25025000201,2021-09,24,1413.0,09/06/21 - 09/12/21
